,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,598.1,606.55,586.55,599.85,595.0,600.5,598.93,623.75,294.45,87288,52279651.3,7714,SHANTIGEAR
1,2023-12-28,EQ,617.95,623.75,595.0,601.4,600.0,599.85,608.01,623.75,294.45,270544,164493339.8,17987,SHANTIGEAR
2,2023-12-27,EQ,563.0,614.0,548.7,554.65,614.0,601.4,585.92,614.0,294.45,502448,294392683.85,36190,SHANTIGEAR
3,2023-12-26,EQ,525.0,558.0,517.7,522.35,554.0,554.65,543.4,575.0,294.45,131903,71676664.6,12439,SHANTIGEAR
4,2023-12-22,EQ,527.25,528.05,520.65,524.6,525.0,522.35,523.86,575.0,294.45,13724,7189410.15,2301,SHANTIGEAR
5,2023-12-21,EQ,500.0,526.65,500.0,507.1,520.25,524.6,516.45,575.0,294.45,43841,22641880.25,6238,SHANTIGEAR
6,2023-12-20,EQ,537.0,547.2,492.6,536.95,511.0,507.1,517.45,575.0,294.45,94710,49007273.95,9996,SHANTIGEAR
7,2023-12-19,EQ,546.9,548.9,533.65,546.9,535.0,536.95,538.72,575.0,294.45,31070,16737952.4,3488,SHANTIGEAR
8,2023-12-18,EQ,537.0,552.0,533.0,540.45,544.8,546.9,544.64,575.0,294.45,39775,21663123.0,4805,SHANTIGEAR
9,2023-12-15,EQ,540.0,551.45,536.85,542.45,539.0,540.45,542.66,575.0,294.45,33532,18196444.7,3711,SHANTIGEAR
10,2023-12-14,EQ,548.2,553.45,537.05,548.2,544.95,542.45,543.42,575.0,294.45,41246,22413914.95,5071,SHANTIGEAR
11,2023-12-13,EQ,537.7,568.7,528.05,540.5,546.5,548.2,552.87,575.0,294.45,153357,84786770.75,14897,SHANTIGEAR
12,2023-12-12,EQ,556.05,564.0,528.65,550.0,530.0,540.5,542.76,575.0,294.45,163131,88540889.4,16464,SHANTIGEAR
13,2023-12-11,EQ,515.35,575.0,512.0,510.9,563.0,550.0,534.32,575.0,294.45,374419,200061426.6,20413,SHANTIGEAR
14,2023-12-08,EQ,492.8,514.9,490.55,490.4,514.9,510.9,503.0,544.8,294.45,130453,65617632.8,9927,SHANTIGEAR
15,2023-12-07,EQ,491.95,493.25,487.9,489.5,491.5,490.4,489.67,544.8,294.45,37255,18242513.25,4599,SHANTIGEAR
16,2023-12-06,EQ,493.9,498.05,488.95,491.4,489.0,489.5,491.68,544.8,294.45,41082,20199145.5,3424,SHANTIGEAR
17,2023-12-05,EQ,495.3,500.8,489.3,498.3,490.15,491.4,493.25,544.8,294.45,40136,19797178.55,4704,SHANTIGEAR
18,2023-12-04,EQ,503.0,504.0,495.0,499.1,497.5,498.3,497.27,544.8,294.45,35802,17803300.7,4405,SHANTIGEAR
19,2023-12-01,EQ,492.7,510.8,490.1,492.7,497.15,499.1,498.3,544.8,294.45,79384,39556925.95,7225,SHANTIGEAR
20,2023-11-30,EQ,499.0,500.8,487.05,495.9,495.0,492.7,491.78,544.8,294.45,53608,26363154.05,4401,SHANTIGEAR
21,2023-11-29,EQ,494.55,507.95,492.95,492.05,499.8,495.9,497.59,544.8,294.45,72476,36062976.55,7472,SHANTIGEAR
22,2023-11-28,EQ,499.0,501.6,490.3,499.1,495.0,492.05,494.67,544.8,294.45,91126,45077457.95,9078,SHANTIGEAR
23,2023-11-24,EQ,509.75,516.65,492.95,504.5,499.0,499.1,504.55,544.8,294.45,116322,58690067.05,11487,SHANTIGEAR
24,2023-11-23,EQ,529.0,529.0,502.0,536.9,508.0,504.5,511.43,544.8,294.45,462234,236399059.5,26379,SHANTIGEAR
25,2023-11-22,EQ,456.95,544.8,454.8,455.65,536.5,536.9,523.04,544.8,294.45,1979020,1035114872.55,54776,SHANTIGEAR
26,2023-11-21,EQ,458.6,460.9,451.3,458.6,456.0,455.65,454.51,527.9,294.45,58432,26557726.4,5501,SHANTIGEAR
27,2023-11-20,EQ,462.8,464.2,455.0,462.8,458.9,458.6,458.6,527.9,294.45,36650,16807719.35,3764,SHANTIGEAR
28,2023-11-17,EQ,464.15,475.5,460.2,463.25,462.85,462.8,466.34,527.9,294.45,46852,21849102.35,4405,SHANTIGEAR
29,2023-11-16,EQ,460.7,468.0,458.95,460.5,460.0,463.25,463.19,527.9,294.45,36385,16853236.25,3399,SHANTIGEAR
30,2023-11-15,EQ,462.0,465.8,459.05,457.3,460.4,460.5,462.31,527.9,294.45,33763,15609065.85,3474,SHANTIGEAR
31,2023-11-13,EQ,464.5,464.5,456.15,464.05,456.15,457.3,460.19,527.9,294.45,16247,7476668.25,2164,SHANTIGEAR
32,2023-11-12,EQ,461.95,469.0,460.1,456.9,466.25,464.05,464.33,527.9,294.45,19500,9054431.3,1376,SHANTIGEAR
33,2023-11-10,EQ,459.65,468.5,454.15,458.3,458.0,456.9,460.03,527.9,294.45,78594,36155914.1,6069,SHANTIGEAR
34,2023-11-09,EQ,465.95,469.4,455.85,465.2,459.9,458.3,461.46,527.9,294.45,40613,18741424.25,4533,SHANTIGEAR
35,2023-11-08,EQ,464.65,469.0,460.05,464.65,465.25,465.2,464.07,527.9,294.45,34518,16018759.9,3098,SHANTIGEAR
36,2023-11-07,EQ,454.0,472.0,450.3,451.75,467.0,464.65,460.06,527.9,294.45,78140,35949281.3,6669,SHANTIGEAR
37,2023-11-06,EQ,456.8,457.75,450.3,454.5,452.75,451.75,453.59,527.9,294.45,37299,16918437.3,3497,SHANTIGEAR
38,2023-11-03,EQ,459.4,461.9,451.55,457.4,454.5,454.5,455.72,527.9,294.45,37632,17149834.1,4011,SHANTIGEAR
39,2023-11-02,EQ,455.35,459.7,451.8,450.4,458.0,457.4,455.8,527.9,294.45,35606,16229288.85,2858,SHANTIGEAR
40,2023-11-01,EQ,458.0,458.0,450.0,454.4,450.55,450.4,453.88,527.9,294.45,37978,17237609.6,3160,SHANTIGEAR
41,2023-10-31,EQ,457.0,458.05,449.6,453.55,453.65,454.4,452.91,527.9,294.45,53370,24171753.95,3529,SHANTIGEAR
42,2023-10-30,EQ,465.75,465.75,451.55,462.8,452.0,453.55,456.36,527.9,294.45,65319,29809188.8,4580,SHANTIGEAR
43,2023-10-27,EQ,472.0,475.75,458.5,464.4,465.0,462.8,468.73,527.9,294.45,144304,67639545.85,9706,SHANTIGEAR
44,2023-10-26,EQ,440.05,468.0,440.0,448.45,466.0,464.4,454.46,527.9,294.45,561899,255358434.35,27078,SHANTIGEAR
45,2023-10-25,EQ,426.8,454.0,401.25,414.75,451.0,448.45,440.0,527.9,294.45,603024,265332106.4,28710,SHANTIGEAR
46,2023-10-23,EQ,437.9,438.8,410.55,436.0,417.0,414.75,422.73,527.9,294.45,74056,31305852.35,8173,SHANTIGEAR
47,2023-10-20,EQ,440.05,443.8,432.4,441.05,434.0,436.0,437.64,527.9,294.45,45231,19794853.3,4567,SHANTIGEAR
48,2023-10-19,EQ,445.75,448.35,437.85,443.5,439.95,441.05,441.54,527.9,294.45,35611,15723669.15,3266,SHANTIGEAR
49,2023-10-18,EQ,455.8,458.0,440.1,450.1,446.0,443.5,448.54,527.9,294.45,52856,23708055.7,6440,SHANTIGEAR
50,2023-10-17,EQ,437.3,455.2,436.0,435.1,450.9,450.1,448.27,527.9,294.45,67225,30134756.0,6526,SHANTIGEAR
51,2023-10-16,EQ,442.8,443.8,434.25,440.25,436.0,435.1,438.19,527.9,294.45,44180,19359421.45,4696,SHANTIGEAR
52,2023-10-13,EQ,440.05,444.0,437.0,437.85,439.0,440.25,440.32,527.9,294.45,25281,11131714.95,2613,SHANTIGEAR
53,2023-10-12,EQ,445.9,449.0,435.5,441.05,438.1,437.85,440.66,527.9,294.45,31093,13701591.9,3646,SHANTIGEAR
54,2023-10-11,EQ,440.3,444.8,439.3,438.1,441.8,441.05,442.02,527.9,294.45,31850,14078481.45,3539,SHANTIGEAR
55,2023-10-10,EQ,441.7,446.0,436.0,439.15,439.0,438.1,441.39,527.9,294.45,27056,11942150.7,2611,SHANTIGEAR
56,2023-10-09,EQ,434.7,446.0,428.0,439.0,438.3,439.15,438.38,527.9,294.45,66760,29266164.95,7759,SHANTIGEAR
57,2023-10-06,EQ,446.7,452.35,434.9,444.45,437.35,439.0,441.62,527.9,294.45,72264,31912901.5,6474,SHANTIGEAR
58,2023-10-05,EQ,447.55,449.95,443.1,445.3,446.9,444.45,446.39,527.9,294.45,40244,17964517.3,3555,SHANTIGEAR
59,2023-10-04,EQ,451.1,455.85,440.35,453.55,443.0,445.3,446.55,527.9,294.45,72945,32573525.25,7625,SHANTIGEAR
60,2023-10-03,EQ,462.7,465.6,450.5,457.45,453.5,453.55,455.25,527.9,294.45,52875,24071122.4,5354,SHANTIGEAR
61,2023-09-29,EQ,455.05,459.9,453.05,453.65,458.4,457.45,456.33,527.9,294.45,28238,12885735.8,3244,SHANTIGEAR
62,2023-09-28,EQ,459.25,463.75,453.0,456.95,453.1,453.65,455.3,527.9,294.45,44306,20172512.25,4037,SHANTIGEAR
63,2023-09-27,EQ,456.95,462.35,453.35,456.3,455.85,456.95,457.0,527.9,294.45,33235,15188280.7,4244,SHANTIGEAR
64,2023-09-26,EQ,462.1,466.8,453.9,462.1,457.4,456.3,458.01,527.9,294.45,50223,23002832.35,3928,SHANTIGEAR
65,2023-09-25,EQ,466.05,470.0,460.55,461.0,461.25,462.1,462.7,527.9,294.45,32396,14989504.7,3531,SHANTIGEAR
66,2023-09-22,EQ,466.95,472.65,457.5,466.25,460.55,461.0,462.45,527.9,294.45,51363,23752676.4,5647,SHANTIGEAR
67,2023-09-21,EQ,473.8,476.1,464.1,473.8,467.0,466.25,469.34,527.9,294.45,42200,19806023.65,3752,SHANTIGEAR
68,2023-09-20,EQ,478.0,479.85,471.5,477.4,473.05,473.8,474.45,527.9,294.45,43527,20651222.45,4611,SHANTIGEAR
