,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,445.55,447.9,433.6,445.55,437.0,436.4,439.16,479.5,86.15,1399264,614498966.55,48215,HBLPOWER
1,2023-12-28,EQ,455.0,465.95,444.55,452.8,445.5,445.55,454.07,479.5,86.15,1568307,712127645.1,58845,HBLPOWER
2,2023-12-27,EQ,446.5,455.0,443.1,445.8,453.0,452.8,450.47,479.5,86.15,1595311,718646352.55,41761,HBLPOWER
3,2023-12-26,EQ,445.25,455.75,440.0,443.3,446.4,445.8,448.89,479.5,86.15,1552398,696858084.7,48077,HBLPOWER
4,2023-12-22,EQ,444.15,449.9,435.65,438.9,443.0,443.3,442.84,479.5,86.15,1546790,684980031.7,60503,HBLPOWER
5,2023-12-21,EQ,408.0,455.95,396.55,410.0,444.0,438.9,436.05,479.5,86.15,5354607,2334857288.55,134196,HBLPOWER
6,2023-12-20,EQ,443.0,452.0,376.05,440.3,411.25,410.0,423.47,479.5,86.15,3156547,1336694247.0,124932,HBLPOWER
7,2023-12-19,EQ,456.75,456.75,437.0,454.5,441.1,440.3,443.0,479.5,86.15,1797180,796144266.1,58515,HBLPOWER
8,2023-12-18,EQ,469.25,469.25,450.95,467.45,454.5,454.5,455.65,479.5,86.15,1631714,743492731.85,52298,HBLPOWER
9,2023-12-15,EQ,459.1,479.5,455.4,454.85,468.85,467.45,469.69,479.5,86.15,2323615,1091378836.8,68591,HBLPOWER
10,2023-12-14,EQ,468.45,475.3,450.0,457.55,454.0,454.85,457.57,475.3,86.15,2112653,966679366.45,69599,HBLPOWER
11,2023-12-13,EQ,430.0,462.1,428.0,427.6,462.1,457.55,448.38,462.1,86.15,3422029,1534354694.4,83717,HBLPOWER
12,2023-12-12,EQ,412.55,432.65,411.0,410.25,429.0,427.6,423.24,432.65,86.15,2570480,1087933739.8,65017,HBLPOWER
13,2023-12-11,EQ,412.0,414.8,402.45,409.5,411.0,410.25,409.65,416.7,86.15,1374324,562997577.65,52132,HBLPOWER
14,2023-12-08,EQ,398.2,416.7,398.2,394.4,409.15,409.5,409.1,416.7,86.15,2595110,1061659277.0,56032,HBLPOWER
15,2023-12-07,EQ,390.45,401.0,385.75,390.45,395.7,394.4,394.35,409.45,86.15,1048520,413486924.2,27467,HBLPOWER
16,2023-12-06,EQ,394.3,401.5,387.45,391.95,392.0,390.45,394.42,409.45,86.15,1210398,477407696.2,27668,HBLPOWER
17,2023-12-05,EQ,404.5,407.95,389.05,402.3,393.4,391.95,398.76,409.45,86.15,2410839,961354338.2,53945,HBLPOWER
18,2023-12-04,EQ,396.9,409.45,388.45,383.8,405.0,402.3,399.37,409.45,86.15,3245459,1296146276.25,54982,HBLPOWER
19,2023-12-01,EQ,364.0,403.75,362.5,359.85,383.0,383.8,384.04,403.75,86.15,5103513,1959964223.6,78919,HBLPOWER
20,2023-11-30,EQ,339.0,365.2,330.1,339.9,363.15,359.85,350.05,365.2,86.15,2573935,901014335.45,39213,HBLPOWER
21,2023-11-29,EQ,347.9,347.9,338.3,345.65,339.0,339.9,343.63,358.7,86.15,745797,256281569.65,21643,HBLPOWER
22,2023-11-28,EQ,348.95,356.35,345.0,343.35,346.7,345.65,349.49,358.7,86.15,1266658,442687101.9,28850,HBLPOWER
23,2023-11-24,EQ,338.6,344.35,335.2,338.0,343.5,343.35,339.85,358.7,86.15,1011874,343887389.25,22974,HBLPOWER
