,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,182.95,185.2,181.1,182.7,183.5,184.2,183.35,185.2,87.0,19305150,3539665590.1,104107,BEL
1,2023-12-28,EQ,181.5,184.25,180.8,180.2,182.5,182.7,182.61,184.9,87.0,20453485,3734961405.55,119866,BEL
2,2023-12-27,EQ,184.0,184.9,179.1,181.95,180.7,180.2,181.93,184.9,87.0,26206240,4767664913.3,131493,BEL
3,2023-12-26,EQ,178.0,184.5,178.0,174.8,182.5,181.95,182.12,184.5,87.0,52736391,9604545840.75,297531,BEL
4,2023-12-22,EQ,171.95,175.25,169.4,170.65,174.55,174.8,172.89,176.3,87.0,19640046,3395642217.35,97612,BEL
5,2023-12-21,EQ,165.0,171.85,164.05,167.25,170.7,170.65,169.52,176.3,87.0,22646625,3839080279.3,124094,BEL
6,2023-12-20,EQ,173.75,176.3,166.15,173.05,166.95,167.25,172.31,176.3,87.0,24511237,4223604671.1,178215,BEL
7,2023-12-19,EQ,172.9,174.4,171.1,172.7,173.15,173.05,172.89,174.4,87.0,14732129,2547097668.2,97367,BEL
8,2023-12-18,EQ,171.75,174.35,169.45,169.05,172.35,172.7,172.17,174.35,87.0,35901409,6181312326.05,152206,BEL
9,2023-12-15,EQ,166.0,170.2,165.25,164.0,169.35,169.05,168.33,170.2,87.0,39766631,6694024639.3,154755,BEL
10,2023-12-14,EQ,163.1,164.35,162.6,162.85,164.0,164.0,163.5,164.35,87.0,13887946,2270734902.65,72030,BEL
11,2023-12-13,EQ,160.2,163.9,159.4,160.8,162.65,162.85,162.04,163.9,87.0,16804086,2722866313.2,82048,BEL
12,2023-12-12,EQ,162.45,162.8,160.0,161.25,160.75,160.8,161.28,163.25,87.0,16306341,2629882238.2,111589,BEL
13,2023-12-11,EQ,159.8,163.25,159.15,158.75,161.4,161.25,161.46,163.25,87.0,22941648,3704255517.05,107016,BEL
14,2023-12-08,EQ,161.35,162.35,157.3,160.35,158.7,158.75,159.18,162.35,87.0,22869782,3640305021.35,121662,BEL
15,2023-12-07,EQ,161.8,161.8,158.25,156.15,160.2,160.35,159.92,161.8,87.0,51346222,8211451709.05,175068,BEL
16,2023-12-06,EQ,152.6,157.15,151.85,152.0,156.0,156.15,155.17,157.5,87.0,26688698,4141300891.65,116051,BEL
17,2023-12-05,EQ,153.7,155.1,149.95,153.55,152.3,152.0,151.95,157.5,87.0,29109123,4423009463.05,117678,BEL
18,2023-12-04,EQ,152.0,157.5,151.6,147.45,153.75,153.55,154.42,157.5,87.0,51416976,7939753106.05,186200,BEL
19,2023-12-01,EQ,147.95,150.3,146.75,145.9,147.3,147.45,148.27,150.3,87.0,34466616,5110435564.8,128531,BEL
20,2023-11-30,EQ,141.0,146.35,140.75,141.0,146.0,145.9,144.49,147.15,87.0,27591484,3986661321.0,106929,BEL
21,2023-11-29,EQ,142.05,142.65,140.5,141.3,141.2,141.0,141.05,147.15,87.0,14680789,2070664118.55,99899,BEL
22,2023-11-28,EQ,141.65,141.8,140.4,140.35,141.1,141.3,141.18,147.15,87.0,8595693,1213565785.0,68813,BEL
23,2023-11-24,EQ,139.95,142.15,137.35,139.35,140.4,140.35,140.21,147.15,87.0,19614754,2750246176.45,75047,BEL
24,2023-11-23,EQ,141.85,142.55,139.1,141.85,139.8,139.35,139.97,147.15,87.0,13138745,1838972964.85,80406,BEL
25,2023-11-22,EQ,143.25,143.45,140.15,142.85,142.1,141.85,141.71,147.15,87.0,7445272,1055066423.5,62127,BEL
26,2023-11-21,EQ,144.15,144.55,142.25,143.85,143.15,142.85,143.12,147.15,87.0,9972235,1427177846.0,67047,BEL
27,2023-11-20,EQ,146.4,146.75,143.15,146.1,144.1,143.85,144.49,147.15,87.0,7741502,1118568868.25,46421,BEL
28,2023-11-17,EQ,142.85,146.5,141.8,142.6,145.95,146.1,144.54,147.15,87.0,13496261,1950694716.0,63388,BEL
29,2023-11-16,EQ,143.25,144.35,142.2,143.05,142.65,142.6,143.07,147.15,87.0,11453235,1638643272.65,57606,BEL
30,2023-11-15,EQ,144.5,145.4,142.5,143.4,143.25,143.05,143.5,147.15,87.0,11440473,1641650907.45,78149,BEL
31,2023-11-13,EQ,139.15,144.2,139.05,139.6,143.2,143.4,143.01,147.15,87.0,20245049,2895201400.15,82600,BEL
32,2023-11-12,EQ,139.95,140.3,139.3,138.8,139.5,139.6,139.73,147.15,87.0,1362464,190381914.85,19870,BEL
33,2023-11-10,EQ,137.5,139.1,137.05,137.95,138.85,138.8,138.35,147.15,87.0,5781314,799855940.35,35812,BEL
34,2023-11-09,EQ,139.95,139.95,137.6,140.4,138.0,137.95,138.3,147.15,87.0,5481774,758149231.5,44152,BEL
35,2023-11-08,EQ,137.75,141.15,137.7,138.05,140.2,140.4,140.2,147.15,87.0,9755483,1367723114.35,61398,BEL
36,2023-11-07,EQ,137.55,138.95,136.7,137.65,137.75,138.05,138.11,147.15,87.0,8587321,1185969483.7,46726,BEL
37,2023-11-06,EQ,136.95,138.0,136.0,135.95,137.7,137.65,137.04,147.15,87.0,7070089,968919326.2,37622,BEL
38,2023-11-03,EQ,135.15,137.0,134.75,134.75,136.0,135.95,136.01,147.15,87.0,9154983,1245154131.15,31663,BEL
39,2023-11-02,EQ,133.7,135.0,133.3,132.4,135.0,134.75,134.28,147.15,87.0,4885035,655969347.9,35700,BEL
40,2023-11-01,EQ,133.75,134.55,132.05,133.25,132.4,132.4,133.57,147.15,87.0,10431945,1393411717.95,66496,BEL
41,2023-10-31,EQ,132.5,133.65,130.75,131.95,133.5,133.25,132.44,147.15,87.0,8098744,1072617955.2,45371,BEL
42,2023-10-30,EQ,133.5,133.95,130.8,132.2,132.0,131.95,131.97,147.15,87.0,9052085,1194625050.9,41779,BEL
43,2023-10-27,EQ,129.25,132.85,129.25,128.85,132.5,132.2,131.81,147.15,87.0,8761931,1154907956.95,49882,BEL
44,2023-10-26,EQ,130.0,130.2,127.0,131.2,129.3,128.85,128.23,147.15,87.0,18167694,2329664982.15,82224,BEL
45,2023-10-25,EQ,132.5,134.65,129.25,132.7,131.2,131.2,132.02,147.15,87.0,10225867,1349977078.4,67392,BEL
46,2023-10-23,EQ,134.3,135.9,131.4,134.2,131.8,132.7,133.39,147.15,87.0,19333777,2578985958.15,74906,BEL
47,2023-10-20,EQ,136.7,136.9,133.5,137.0,134.1,134.2,134.77,147.15,87.0,8982112,1210559621.75,62041,BEL
48,2023-10-19,EQ,136.0,137.2,135.05,137.05,136.85,137.0,136.39,147.15,87.0,7775836,1060525671.85,60578,BEL
49,2023-10-18,EQ,138.75,138.95,136.4,138.55,137.1,137.05,137.42,147.15,87.0,6806231,935343723.2,39910,BEL
50,2023-10-17,EQ,137.5,138.9,137.5,137.4,138.45,138.55,138.4,147.15,87.0,6076896,841068550.8,40858,BEL
51,2023-10-16,EQ,137.0,137.9,136.55,137.45,137.3,137.4,137.36,147.15,87.0,7785480,1069400761.05,49844,BEL
52,2023-10-13,EQ,136.3,138.2,136.3,138.2,137.3,137.45,137.2,147.15,87.0,8303230,1139218589.25,63144,BEL
